title,author,price,image
AKASHA: Wotakoi - Love is Hard for Otaku 6, FUJITA  ,Rp 32.000,/assets/default-images/product.png
Akasha: Wotakoi - Love is Hard for Otaku 7, FUJITA  ,Rp 32.000,/assets/default-images/product.png
AKASHA : Wotakoi : Love is Hard for Otaku 05, TAPPEI NAGATSUKI ,Rp 32.000,/assets/default-images/product.png
Shaman King Complete Edition 03, Hiroyuki Takei ,Rp 60.000,/assets/default-images/product.png
Samurai X Hokkaido Arc vol. 01, Nobuhiro Watsuki ,Rp 40.000,/assets/default-images/product.png
AKASHA: City Hunter Rebirth 7, Hojo Tsukasa ,Rp 36.000,/assets/default-images/product.png
Komik Alam Kubur, Abu Mahdi ,Rp 55.000,/assets/default-images/product.png
Shalawat Jalur Langit, Ustadz Fuad Sn ,Rp 59.000,/assets/default-images/product.png
Detektif Conan 100, Aoyama Gosho ,Rp 40.000,/assets/default-images/product.png
Misteri Perpustakaan yang Hilang (The Lost Library), Rebecca Steed dan Wendy Mass ,Rp 69.000,/assets/default-images/product.png
Stakeholder Management : Rahasia Sukses Optimasi Para Pemangku Kepentingan, RIVAN ACHMAD PURWANTONO ,Rp 151.200,/assets/default-images/product.png
Arsitektur Perilaku, Lury Sofyan Yahya & Dimas Budi Prasetyo ,Rp 88.200,/assets/default-images/product.png
"Yona, The Girl Standing In The Blush Of Dawn 41", Mizuho Kusanagi ,Rp 32.000,/assets/default-images/product.png
Naruto Official Animation Book: Hiden - Douga Emaki,,Rp 40.000,/assets/default-images/product.png
Kindaichi 37 8, Seimaru Amagi & Fumiya Sato ,Rp 33.600,/assets/default-images/product.png
The Dip: Saat Kita Ditantang untuk Bertahan atau Berhenti, Seth Godin ,Rp 44.000,/assets/default-images/product.png
AZ - Buku Aktivitas : Cinta Tanah Air, Heru Kurniawan ,Rp 28.000,/assets/default-images/product.png
Board Book Pintar Anak Muslim Doa Sehari - hari, Tim Oopredoo ,Rp 31.200,/assets/default-images/product.png
The Apothecary Diaries 5, NATSU HYUUGA / NEKOKURAGE ,Rp 36.000,/assets/default-images/product.png
Boruto - Naruto Next Generation Vol. 14, Seishi Kishimoto ,Rp 32.000,/assets/default-images/product.png
Kaiju No. 8 Vol. 03, Naoya Matsumoto ,Rp 44.000,/assets/default-images/product.png
Kaiju No. 8 Volume 2, Naoya Matsumoto ,Rp 44.000,/assets/default-images/product.png
"Kamus Lengkap Bahasa Indonesia  SD, SMP, SMA dan Umum"," PUTHOT TUNGGAL HANDAYANI, PUJO ADHI SURYANI ",Rp 49.500,/assets/default-images/product.png
DEMON SLAYER: Kimetsu no Yaiba 10, Koyoharu Gotouge ,Rp 32.000,/assets/default-images/product.png
Manajer Versus Supervisor, Febri Asiani ,Rp 49.500,/assets/default-images/product.png
Kitab Membaca Mikroekspresi dan Gesture, Intan Wulansari ,Rp 31.950,/assets/default-images/product.png
Z1-Sd/Mi Buku Siswa Kl.1 Bahasa Indonesia : Aku Bisa! Thn. 2, Sofie Dewayani ,Rp 24.500,/assets/default-images/product.png
Jungle Animals : Doodle Coloring, Herdhika Puspitasari ,Rp 59.000,/assets/default-images/product.png
Coloring Book Dinosaurus Robot, Kak Bambang  ,Rp 27.000,/assets/default-images/product.png
Buku Seri Pahlawan Nasional: Ki Hajar Dewantara, WATIEK IDEO & NINDIA MAYA ,Rp 36.000,/assets/default-images/product.png
The Power Of Tahajud And Duha," Ustaz H. M. Abd. Rouf, Lc., Ma. ",Rp 50.000,/assets/default-images/product.png
Strategi Manajemen Pelayanan Publik, Rofi’ah Nurhayati ,Rp 40.500,/assets/default-images/product.png
Strategi Manajemen Kepuasan Pelanggan, Asti Musman ,Rp 45.500,/assets/default-images/product.png
Al-Farabi Sebuah Biografi, A.R. Shohibul Ulum ,Rp 49.500,/assets/default-images/product.png
Bijak Mendidik Anak, Astrid Savitri ,Rp 49.000,/assets/default-images/product.png
Spy x Family 6, ENDOU TATSUYA ,Rp 36.000,/assets/default-images/product.png
Insecure Mom: Semua Ibu Berhak Bahagia, Aprina Tri Retnaningrum ,Rp 45.000,/assets/default-images/product.png
Panduan Lengkap Gerakan Pramuka, Susilo Herlambang ,Rp 55.500,/assets/default-images/product.png
Jangan Langsung Berbisnis Tanpa Buku Ini, Ekaning Benawi ,Rp 49.500,/assets/default-images/product.png
Dasar-Dasar Manajemen Sumber Daya Manusia, Srie Ningsih Ali ,Rp 59.500,/assets/default-images/product.png
Keluarga Bahagia, Florin Ceyanna ,Rp 44.000,/assets/default-images/product.png
